patients,evening_weekend,would_rec,n_asked,practice_id
19710,YES,61%,23,42097
20948,YES,86%,328,39199
27294,YES,93%,132,39054
3996,YES,NA,NA,43750
16501,YES,NA,NA,42962
7494,YES,93%,387,41440
5646,YES,92%,112,37670
10204,YES,82%,93,42335
5460,YES,86%,37,43550
22424,YES,96%,428,42623
1594,YES,94%,17,38497
7143,YES,64%,33,42882
8968,NA,NA,NA,151811
2557,YES,100%,8,43240
9892,YES,58%,12,41504
9748,YES,94%,63,35335
5895,YES,NA,NA,46162
NA,YES,NA,NA,141806
NA,YES,NA,NA,141808
NA,YES,NA,NA,141810
NA,YES,NA,NA,141807
10373,YES,NA,NA,38651
11122,YES,NA,NA,43719
3528,YES,NA,NA,45273
6169,YES,88%,182,39771
18876,YES,NA,NA,38900
7885,YES,92%,302,43705
7885,YES,92%,302,42718
21409,YES,99%,135,42230
3245,YES,NA,NA,39336
14818,YES,NA,NA,43139
18007,YES,NA,NA,39435
2420,YES,92%,37,39474
6895,YES,100%,6,37301
14237,YES,NA,NA,43348
5428,YES,NA,NA,40395
12088,YES,89%,489,46193
7588,YES,NA,NA,44824
17474,YES,91%,581,40082
9669,YES,98%,43,38512
19968,YES,52%,48,124521
9768,YES,56%,27,38123
9533,YES,NA,NA,42337
6613,YES,99%,179,36504
14405,YES,NA,NA,42938
7763,YES,89%,363,39093
4747,YES,85%,13,37203
7568,YES,100%,9,36359
18580,YES,83%,30,39063
3962,YES,NA,NA,39038
4755,YES,NA,NA,38729
10841,YES,89%,19,39872
6807,YES,NA,NA,42862
8867,YES,NA,NA,41200
13213,YES,93%,307,36949
14624,YES,NA,NA,44119
12797,YES,93%,528,40081
4287,YES,NA,NA,41245
3456,YES,NA,NA,41630
9339,YES,96%,199,37231
3284,YES,NA,NA,41540
4228,YES,NA,NA,37241
10160,YES,NA,NA,38245
5286,YES,90%,10,42745
2632,YES,83%,6,37701
1770,YES,NA,NA,40626
3507,YES,NA,NA,37973
7059,YES,93%,46,42310
5324,YES,89%,176,41946
5324,NA,89%,176,152119
3025,YES,100%,5,44671
9397,YES,90%,192,42778
3722,YES,92%,59,41655
9400,YES,78%,186,36396
16231,YES,NA,NA,40359
14002,YES,NA,NA,40017
11757,YES,88%,17,37327
9037,YES,87%,79,41150
12617,YES,NA,NA,40362
4034,YES,NA,NA,40419
11632,YES,90%,59,44059
6215,YES,50%,6,41853
2050,YES,NA,NA,44678
4787,YES,NA,NA,36152
44157,YES,NA,NA,38691
16959,YES,NA,NA,37690
5036,YES,NA,NA,36998
5854,YES,100%,10,43972
3548,YES,NA,NA,39079
11184,YES,NA,NA,43165
4728,YES,87%,23,38578
11997,YES,NA,NA,44399
3466,YES,88%,17,40084
16424,YES,94%,177,44930
2545,YES,100%,13,38251
13284,YES,86%,29,38650
14517,YES,93%,393,43297
14517,NA,93%,393,152106
4144,YES,94%,1747,37281
8934,YES,96%,49,43753
5677,YES,NA,NA,35988
5480,YES,76%,42,39545
7461,YES,NA,NA,40048
7111,YES,NA,NA,37811
7030,YES,NA,NA,38658
10554,YES,NA,NA,40176
13565,YES,77%,132,39669
3068,YES,90%,10,39207
9186,YES,85%,33,44996
9548,YES,89%,189,37671
11167,YES,80%,45,41941
15580,YES,96%,138,44732
5760,YES,NA,NA,43701
4815,YES,93%,42,44164
8052,YES,95%,131,43616
5582,YES,NA,NA,43462
20298,YES,93%,475,43232
20298,YES,93%,475,41936
20298,YES,93%,475,125397
10612,YES,NA,NA,36174
3535,YES,NA,NA,35763
12457,YES,NA,NA,40020
8330,YES,99%,446,35200
8229,YES,NA,NA,39620
3813,YES,89%,120,44701
6457,YES,NA,NA,42418
6003,YES,94%,34,40538
9468,YES,89%,56,41180
15432,YES,86%,49,41118
7590,YES,77%,109,44499
2798,YES,NA,NA,41036
5733,YES,93%,88,42490
4114,YES,88%,24,40763
10002,YES,91%,11,113073
8334,YES,90%,187,89232
35658,NA,90%,1065,37406
63880,YES,NA,NA,45884
5731,YES,91%,44,43939
8796,YES,NA,NA,35861
1867,YES,91%,11,44530
4309,YES,67%,12,35460
5870,YES,85%,195,42417
20105,YES,98%,94,38264
4266,YES,NA,NA,42433
19020,YES,NA,NA,39186
4514,YES,NA,NA,36046
11978,YES,95%,63,38396
9732,YES,NA,NA,42667
14370,YES,NA,NA,41696
6964,YES,71%,7,44854
5565,YES,NA,NA,39780
18580,YES,NA,NA,43728
5919,YES,NA,NA,42043
5578,YES,NA,NA,39230
9520,YES,NA,NA,38516
9690,YES,88%,41,39311
6049,YES,NA,NA,38013
8329,YES,86%,78,39702
2793,YES,NA,NA,37160
2240,YES,95%,38,41584
10701,YES,NA,NA,41430
2552,YES,NA,NA,40327
7751,YES,NA,NA,44825
5637,YES,NA,NA,43996
5466,YES,95%,217,42218
2314,YES,NA,NA,42842
2771,YES,100%,5,43052
4259,YES,86%,35,43636
15174,YES,93%,447,42793
4399,YES,NA,NA,43266
2230,YES,71%,17,39089
15974,YES,84%,113,37315
15974,YES,84%,113,43478
13717,YES,NA,NA,37829
13749,YES,NA,NA,36591
15923,YES,NA,NA,38917
15923,YES,NA,NA,38813
3913,NA,NA,NA,152008
3913,NA,NA,NA,152007
3913,YES,NA,NA,38445
7978,YES,NA,NA,40917
11323,YES,NA,NA,35585
13049,YES,NA,NA,38316
10226,YES,100%,16,40164
10947,YES,NA,NA,44305
20151,YES,89%,623,42343
20151,YES,89%,623,41765
6733,YES,100%,15,43904
6554,YES,95%,39,43323
13753,YES,96%,51,43715
NA,YES,NA,NA,44117
11507,YES,NA,NA,36745
12560,YES,NA,NA,44500
4672,YES,NA,NA,44242
1838,YES,NA,NA,37388
6183,YES,94%,225,37722
8241,YES,NA,NA,42060
3552,YES,100%,12,38963
6083,YES,96%,238,43532
6960,YES,77%,44,37571
5097,YES,NA,NA,39082
2239,YES,94%,49,43644
7143,YES,NA,NA,42513
4979,YES,93%,59,41660
5921,YES,NA,NA,36858
2302,YES,NA,NA,37836
17317,YES,NA,NA,37563
9906,YES,95%,416,38237
20051,YES,93%,30,37581
11060,YES,NA,NA,38484
11060,YES,NA,NA,45023
6293,YES,NA,NA,37051
6293,YES,NA,NA,39558
47046,YES,NA,NA,35501
3044,YES,NA,NA,38824
15978,YES,67%,6,44940
9181,YES,NA,NA,42807
12503,YES,NA,NA,42971
4268,YES,NA,NA,43214
1555,YES,NA,NA,42736
6630,YES,91%,11,45100
7389,YES,NA,NA,35618
2506,YES,NA,NA,45014
8242,YES,93%,116,42550
3979,YES,100%,70,35665
3979,YES,100%,70,43024
4814,YES,NA,NA,40198
6368,NA,NA,NA,152010
6368,YES,NA,NA,42044
8389,NA,92%,12,152019
11173,YES,87%,237,43457
5541,YES,NA,NA,35537
7118,NA,94%,173,151928
5842,YES,NA,NA,37249
11964,YES,81%,31,38808
18138,NA,NA,NA,152181
15305,YES,NA,NA,42478
5002,YES,99%,134,35613
6241,YES,NA,NA,35533
37010,NA,87%,194,151930
6184,YES,94%,83,35353
6184,YES,94%,83,43786
2389,YES,NA,NA,39920
76789,YES,84%,1734,42034
5576,YES,86%,189,35878
8859,YES,NA,NA,38839
6502,YES,71%,7,36311
4469,YES,NA,NA,43858
5327,YES,96%,26,110116
5327,NA,96%,26,38940
4639,YES,90%,148,42640
10961,YES,NA,NA,39692
12472,YES,NA,NA,101283
18361,YES,91%,452,38892
8634,YES,NA,NA,36067
5023,YES,91%,43,37472
3983,YES,NA,NA,36016
3666,YES,100%,6,42499
6565,YES,NA,NA,38551
8000,YES,93%,258,112721
12682,YES,92%,299,38426
5010,YES,NA,NA,40736
8090,YES,90%,126,42022
4138,YES,95%,200,40024
8548,YES,NA,NA,36922
9937,YES,NA,NA,39015
6038,YES,90%,31,36335
11233,YES,86%,50,42897
6753,YES,87%,230,44984
5475,YES,85%,317,44103
15847,YES,93%,76,38535
25835,YES,NA,NA,37546
17449,YES,91%,532,39598
13829,YES,NA,NA,39035
8211,YES,NA,NA,38935
10713,YES,82%,11,35755
20252,YES,NA,NA,39626
9994,YES,NA,NA,37446
3905,YES,NA,NA,42374
4303,YES,NA,NA,42408
2252,YES,NA,NA,42206
4080,YES,NA,NA,35745
8099,YES,80%,267,37923
18896,YES,NA,NA,39012
18896,YES,NA,NA,42214
12066,YES,96%,53,39757
10276,YES,NA,NA,39469
11956,YES,NA,NA,41466
7758,YES,95%,73,42091
7811,YES,88%,52,35179
13643,YES,94%,459,40970
1547,YES,NA,NA,41939
7944,YES,NA,NA,36856
6783,YES,95%,43,44565
29445,YES,75%,81,36813
